[2025-03-06 14:17:19,257][inference.model_runners][INFO] - Reading checkpoint from RFDiffusionAA_paper_weights.pt
[2025-03-06 14:17:45,438][inference.model_runners][INFO] - Loading checkpoint.
[2025-03-06 14:17:45,810][diffusion][INFO] - No IGSO3 cache found at /home/freitas/workspace/Ribbon-Containers/containers/RFDiffusionAA/25.3.2/rf_diffusion_all_atom/cached_schedules/T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2025-03-06 14:17:45,810][diffusion][INFO] - Calculating IGSO3.
[2025-03-06 14:18:55,956][__main__][INFO] - Making design samples/design_0
[2025-03-06 14:18:55,956][__main__][INFO] - making design 0 of 0:1
[2025-03-06 14:18:55,956][inference.model_runners][INFO] - Using contig: ['150-150']
[2025-03-06 14:20:46,811][inference.model_runners][INFO] - 14:20:46: Timestep 178, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:48,509][inference.model_runners][INFO] - 14:20:48: Timestep 177, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:50,146][inference.model_runners][INFO] - 14:20:50: Timestep 176, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:51,922][inference.model_runners][INFO] - 14:20:51: Timestep 175, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:53,673][inference.model_runners][INFO] - 14:20:53: Timestep 174, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:55,312][inference.model_runners][INFO] - 14:20:55: Timestep 173, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:56,942][inference.model_runners][INFO] - 14:20:56: Timestep 172, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:58,696][inference.model_runners][INFO] - 14:20:58: Timestep 171, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:00,466][inference.model_runners][INFO] - 14:21:00: Timestep 170, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:02,214][inference.model_runners][INFO] - 14:21:02: Timestep 169, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:03,980][inference.model_runners][INFO] - 14:21:03: Timestep 168, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:05,737][inference.model_runners][INFO] - 14:21:05: Timestep 167, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:07,482][inference.model_runners][INFO] - 14:21:07: Timestep 166, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:09,222][inference.model_runners][INFO] - 14:21:09: Timestep 165, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:10,974][inference.model_runners][INFO] - 14:21:10: Timestep 164, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:12,700][inference.model_runners][INFO] - 14:21:12: Timestep 163, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:14,447][inference.model_runners][INFO] - 14:21:14: Timestep 162, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:16,214][inference.model_runners][INFO] - 14:21:16: Timestep 161, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:17,971][inference.model_runners][INFO] - 14:21:17: Timestep 160, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:19,742][inference.model_runners][INFO] - 14:21:19: Timestep 159, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:21,507][inference.model_runners][INFO] - 14:21:21: Timestep 158, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:23,278][inference.model_runners][INFO] - 14:21:23: Timestep 157, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:25,042][inference.model_runners][INFO] - 14:21:25: Timestep 156, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:26,811][inference.model_runners][INFO] - 14:21:26: Timestep 155, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:28,571][inference.model_runners][INFO] - 14:21:28: Timestep 154, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:30,355][inference.model_runners][INFO] - 14:21:30: Timestep 153, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:32,111][inference.model_runners][INFO] - 14:21:32: Timestep 152, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:33,858][inference.model_runners][INFO] - 14:21:33: Timestep 151, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:35,611][inference.model_runners][INFO] - 14:21:35: Timestep 150, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:37,407][inference.model_runners][INFO] - 14:21:37: Timestep 149, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
